"Title","Description","Priority","Estimate","Status","Labels"
"Structured JSON logging with request IDs and redaction","**Ticket:** AUTH-T74  
**Epic:** E10 Observability & Audit  
**Phase:** Phase 1 — Core auth, sessions, SSO (MVP)  
**Depends on:** AUTH-T03 (Install Better Auth 1.7 with the Prisma adapter and mount the handler)

Use `pino` (or a thin console JSON logger compatible with Vercel log drains): request id (from `x-vercel-id` or generated), route, user id (never email), latency, outcome. Redact tokens, cookies, passwords, and email bodies. Log levels by environment.

**Acceptance criteria**
- [ ] Sample production log line validated against a schema; a test asserts secrets are redacted.","High","2","Backlog","epic:observability, phase:1, backend, observability"
"PostHog: server-side auth funnel events and error tracking","**Ticket:** AUTH-T75  
**Epic:** E10 Observability & Audit  
**Phase:** Phase 2 — Admin, Primary Admin, positions, UI, SDK, VaultZ  
**Depends on:** AUTH-T74 (Structured JSON logging with request IDs and redaction)

Integrate PostHog (free tier): server-side capture of login_succeeded/login_failed (reason category only), signup_started/completed, reset_requested/completed, mfa_enrolled, session_endpoint_error; identify by SGAuth user id only (no email/name properties). Enable PostHog error tracking on the server; on the client, load the PostHog script **only on authenticated /admin and /account pages, never on login, sign-up, reset, or verification pages** (a third-party script on a credential form is a supply-chain risk; those pages report errors via a first-party endpoint). Respect a `POSTHOG_DISABLED` flag for local/test. Add a dashboard for daily logins, failure rate, lockouts.

**Acceptance criteria**
- [ ] Events appear in PostHog from dev with no PII properties (verified by inspecting event payloads); an induced server error shows in error tracking.","Medium","2","Backlog","epic:observability, phase:2, observability, posthog"
"Health endpoint and uptime monitor","**Ticket:** AUTH-T76  
**Epic:** E10 Observability & Audit  
**Phase:** Phase 1 — Core auth, sessions, SSO (MVP)  
**Depends on:** AUTH-T04 (Configure Prisma 7 for Neon (pooled runtime, direct migrations)); AUTH-T29 (ES256 JWTs with JWKS and OIDC discovery for Supabase-backed products)

`GET /api/health` returns 200 with `{ db: 'ok', jwks: 'ok', version }` after a cheap `SELECT 1` and a JWKS presence check; 503 otherwise. Configure a free external uptime monitor hitting it every 5 minutes with email alerts to the admins.

**Acceptance criteria**
- [ ] Monitor is live and alerted correctly during a deliberate 10-minute dev outage test.","Medium","1","Backlog","epic:observability, phase:1, backend, infra"
"Threshold alerts for security events","**Ticket:** AUTH-T77  
**Epic:** E10 Observability & Audit  
**Phase:** Phase 3 — Hardening, observability, Chambers  
**Depends on:** AUTH-T73 (Audit event catalog, emitter, and coverage test); AUTH-T20 (Email infrastructure: Resend on a dedicated SGAuth sending domain with volume caps); AUTH-T38 (Scheduled-job runner: GitHub Actions schedules calling secret-protected routes)

A scheduled job (every 15 min via AUTH-T38) queries AuditEvent for spikes: >50 LOGIN_FAILED in 15 min, >5 ACCOUNT_LOCKED in an hour, any BREAK_GLASS_PA_RECOVERY, any PA_TRANSFER_INITIATED, JWKS rotation, job failures, Upstash fail-open events; emails all admins with a summary (deduplicated per hour).

**Acceptance criteria**
- [ ] Simulated spike triggers exactly one alert email; the same condition an hour later triggers again.","Low","2","Backlog","epic:observability, phase:3, backend, observability, email"
"Retention jobs: tombstone deactivated (30 d) and inactive (12 mo) users, purge sessions and PII","**Ticket:** AUTH-T78  
**Epic:** E10 Observability & Audit  
**Phase:** Phase 3 — Hardening, observability, Chambers  
**Depends on:** AUTH-T13 (Append-only AuditEvent table); AUTH-T36 (Admin user-management endpoints); AUTH-T20 (Email infrastructure: Resend on a dedicated SGAuth sending domain with volume caps); AUTH-T38 (Scheduled-job runner: GitHub Actions schedules calling secret-protected routes)

Daily job (via AUTH-T38): (1) **tombstone** users deactivated ≥30 days ago: status DELETED, email replaced by `deleted+<id>@invalid`, name 'Deleted user', preferredName null, password/accounts/MFA/known devices/sessions/positions removed, audit PII anonymized via the gated path; the row and id are kept so product foreign keys stay valid and products render 'Deleted user' (never the PA); (2) flag users with no login for 11 months and email an inactivity notice; tombstone at 12 months if still inactive (admins and the PA are exempt and listed for manual review; holding positions does not exempt); (3) purge expired sessions, **sessions whose `createdAt` is older than 90 days (absolute cap enforcement, AUTH-T27)**, verifications, unlock tokens, and unverified sign-ups older than 7 days; (4) null IP/UA on audit rows and sessions older than 90 days. Everything logged with counts; `--dry-run` support; admin UI shows upcoming tombstones. A tombstoned email may be re-registered later as a brand-new account (new id).

**Acceptance criteria**
- [ ] Time-travel tests for each rule; PA and admins are never auto-tombstoned.
- [ ] A tombstoned user's id still resolves (status DELETED) with no PII; audit rows keep `actorUserId` but lose IP/UA/metadata PII.
- [ ] Sessions older than 90 days are gone after the job even if recently refreshed.","Medium","3","Backlog","epic:observability, phase:3, backend, privacy, infra"
"ARCHITECTURE.md: Neon mandate, components, session and token flows","**Ticket:** AUTH-T79  
**Epic:** E11 Integration Guides & Docs  
**Phase:** Phase 1 — Core auth, sessions, SSO (MVP)  
**Depends on:** AUTH-T26 (Parent-domain session cookie for *.northeasternsga.com); AUTH-T28 (Session endpoint for products: user, email, positions, admin flags); AUTH-T29 (ES256 JWTs with JWKS and OIDC discovery for Supabase-backed products)

Write the canonical architecture document: the Neon mandate in the first paragraph ('SGAuth runs on Neon serverless Postgres and does not use Supabase for any purpose'), component diagram (Vercel app, Neon, Upstash, Resend, PostHog), request flows (login, product session lookup, Supabase token flow, logout propagation, PA transfer), data model overview, environment topology, and links to runbooks and guides. Keep it current as a living document (owner: SGAuth lead).

**Acceptance criteria**
- [ ] Doc merged at `docs/ARCHITECTURE.md` with Mermaid diagrams that render on GitHub; reviewed by the team lead.","High","3","Backlog","epic:docs, phase:1, docs"
"Integration guide for Neon-based products (Next.js)","**Ticket:** AUTH-T80  
**Epic:** E11 Integration Guides & Docs  
**Phase:** Phase 2 — Admin, Primary Admin, positions, UI, SDK, VaultZ  
**Depends on:** AUTH-T61 (SDK documentation, example app, and versioning policy); AUTH-T34 (Non-production SSO topology: dev deployment, local hostnames, product preview domains)

`docs/integration/neon-products.md`: prerequisites (subdomain registered in the product registry), install SDK, env vars, add `proxy.ts`, read the session in server components/actions/route handlers, gate features by position keys (with a recommended per-product permission map file), key product tables by SGAuth user id (create-on-first-login pattern), link to the account page, logout, dev/preview topology, propagation/staleness, migration checklist for products with existing users, troubleshooting (cookie missing, 401 loops, origin rejected).

**Acceptance criteria**
- [ ] VaultZ integration completed by following the guide with no undocumented steps (feedback folded back in).","High","3","Backlog","epic:docs, phase:2, docs, sdk"
"Integration guide for Supabase-backed products (third-party auth) plus the move-to-Neon alternative","**Ticket:** AUTH-T81  
**Epic:** E11 Integration Guides & Docs  
**Phase:** Phase 3 — Hardening, observability, Chambers  
**Depends on:** AUTH-T29 (ES256 JWTs with JWKS and OIDC discovery for Supabase-backed products); AUTH-T60 (SDK: getAccessToken() for Supabase clients)

`docs/integration/supabase-products.md` covering, with tested snippets:
1. **Register SGAuth as a third-party auth provider** using the Supabase Management API (`POST /v1/projects/{ref}/config/auth/third-party-auth` with `oidc_issuer_url: https://auth.northeasternsga.com`, or `jwks_url`), a script `scripts/supabase-register-tpa.ts`, and how to verify (`GET` the integration, check `resolved_jwks`). Note the dashboard may not expose a generic provider; the API does.
2. **Token requirements** SGAuth satisfies: ES256, `kid`, `role: 'authenticated'`, uuid `sub`, `iss`, `exp` ≤ 10 min.
3. **Client setup**: `createClient(url, key, { accessToken: () => getAccessToken() })` server-side, and the browser proxy pattern from the SDK.
4. **RLS**: `auth.uid()` = SGAuth user id; positions via `(select auth.jwt() -> 'positions')`; helper function `has_position(text)`; examples for select/insert policies; performance wrapping.
5. **Decoupling from auth.users**: third-party users have no `auth.users` row; replace FKs/triggers with a product `users` table keyed by SGAuth id, created on first request.
6. **Limitations**: no Supabase sessions/refresh/MFA/password features for these users; JWT staleness ≤10 min; Supabase JWKS refresh ≤30 min (why rotation has a 7-day grace); billing at $0.00325 per third-party MAU beyond quota; `custom_jwks` fallback if discovery fails.
7. **Alternative**: server-side verification with `jose` against SGAuth's JWKS for products that do not need RLS.
8. **Move to Neon instead**: checklist for migrating a Supabase product's Postgres to Neon and using the standard Neon guide, recommended for any product that needs auth and does not depend on Supabase-only features (Storage, Realtime).

**Acceptance criteria**
- [ ] A throwaway Supabase project registered via the script accepts an SGAuth token and an RLS policy using `auth.uid()` and a position claim behaves as documented (recorded in the guide with a verification date).
- [ ] Guide includes the explicit limitations list and the MAU cost line.","High","5","Backlog","epic:docs, phase:3, docs, supabase, jwt"
"Admin runbooks","**Ticket:** AUTH-T82  
**Epic:** E11 Integration Guides & Docs  
**Phase:** Phase 2 — Admin, Primary Admin, positions, UI, SDK, VaultZ  
**Depends on:** AUTH-T37 (Primary Admin transfer flow (re-auth, recipient acceptance, 24-hour cancel window)); AUTH-T39 (Break-glass Primary Admin recovery script and runbook); AUTH-T64 (Escalating account lockout with emailed unlock and known-device exemption); AUTH-T41 (Bulk user import (CSV) with position assignment and batched invites)

`docs/runbooks/`: Primary Admin transfer (step-by-step with screenshots), break-glass recovery, unlocking a user, bulk import, position lifecycle (create/rename/retire), key and secret rotation, incident response (revoke all sessions, rotate secret, notify), onboarding a new product (registry + subdomain + SDK), semester turnover checklist.

**Acceptance criteria**
- [ ] Each runbook has been executed once on dev by someone other than its author and corrected accordingly.","Medium","3","Backlog","epic:docs, phase:2, docs, admin"
"Privacy notice and data-handling document","**Ticket:** AUTH-T83  
**Epic:** E11 Integration Guides & Docs  
**Phase:** Phase 3 — Hardening, observability, Chambers  
**Depends on:** AUTH-T78 (Retention jobs: tombstone deactivated (30 d) and inactive (12 mo) users, purge sessions and PII)

Public page `/privacy` and `docs/DATA_HANDLING.md`: what SGAuth stores (name, preferred name, northeastern.edu email, positions, security metadata such as IP/user agent for 90 days, audit events), why, who can see it (admins), retention (deactivated 30 days, inactive 12 months), how to request deletion, and that SGAuth stores no NUID, grades, or academic records. Note that names and positions are directory-level information and that SGA, as a student organization, is not the university's FERPA steward; keep the data set that way.

**Acceptance criteria**
- [ ] Page live and linked from the login footer; reviewed by the Primary Admin.","Medium","2","Backlog","epic:docs, phase:3, docs, privacy"
"Generated SDK API reference and changelog discipline","**Ticket:** AUTH-T84  
**Epic:** E11 Integration Guides & Docs  
**Phase:** Phase 3 — Hardening, observability, Chambers  
**Depends on:** AUTH-T61 (SDK documentation, example app, and versioning policy)

Typedoc site published to GitHub Pages from the SDK repo on release; enforce changelog entries via a CI check on PRs.

**Acceptance criteria**
- [ ] Reference site live; a PR without a changelog entry fails CI.","Low","1","Backlog","epic:docs, phase:3, docs, sdk"
"CLAUDE.md and CONTRIBUTING.md for agents and humans","**Ticket:** AUTH-T85  
**Epic:** E11 Integration Guides & Docs  
**Phase:** Phase 1 — Core auth, sessions, SSO (MVP)  
**Depends on:** AUTH-T02 (Remove Supabase from the auth repo (in-place migration to Neon)); AUTH-T06 (Update CI: typecheck, lint, format, migrations check, and tests on a Neon test branch)

Document conventions for coding agents and contributors: Neon-only (no Supabase), commands (dev, test, migrate, seed), folder layout, authz and audit requirements for any new mutating route, testing expectations, commit/PR conventions (labels), and links to the design docs. Update the repo's agent definitions that reference Supabase (prisma-migration-agent, security-reviewer) to Neon.

**Acceptance criteria**
- [ ] CLAUDE.md merged; agent definitions no longer mention Supabase.","Low","1","Backlog","epic:docs, phase:1, docs, chore"
"Receive the Chambers auth.users export and define the import file format","**Ticket:** AUTH-T86  
**Epic:** E12 User Migration & Rollout  
**Phase:** Phase 3 — Hardening, observability, Chambers  
**Depends on:** none

**The export itself is a manual action item owned by Eli, outside Linear** (Chambers has no Linear team): export the Chambers Supabase `auth.users` table (`id`, `email`, `encrypted_password`, `email_confirmed_at`, `last_sign_in_at`, `banned_until`) joined to `public.users` (name fields, `admin_role`, `iems_role`, `is_active`) and board memberships **before the Supabase project is deleted**, into a JSON file kept out of git. This ticket: publish the expected JSON schema and a validation script (`scripts/validate-export.ts`) that checks the file, reports row counts and a checksum, and confirms hashes look like bcrypt (`$2a$`/`$2b$`). The file is stored in the team secrets vault and deleted after import.

**Acceptance criteria**
- [ ] Schema and validator merged; the received export validates with counts matching what Eli reports from Supabase.","High","2","Backlog","epic:rollout, phase:3, migration, chambers"
"Import script: Chambers users with bcrypt hashes and position mapping","**Ticket:** AUTH-T87  
**Epic:** E12 User Migration & Rollout  
**Phase:** Phase 3 — Hardening, observability, Chambers  
**Depends on:** AUTH-T86 (Receive the Chambers auth.users export and define the import file format); AUTH-T21 (Accept imported Chambers bcrypt hashes with lazy re-hash to scrypt); AUTH-T44 (Seed the curated SGA position list); AUTH-T13 (Append-only AuditEvent table)

`scripts/import-users.ts --source chambers.json --mapping chambers-positions.json --dry-run`: for each row, upsert User by lower-cased email (merge if it already exists from another import), store the bcrypt hash as `bcrypt$<hash>` in Account (only when no scrypt password exists), set `emailVerified` from `email_confirmed_at`, mark `is_active = false` users as DEACTIVATED, assign positions from an approved mapping file (Chambers roles → curated position keys), skip banned users, and write a report (created/merged/skipped with reasons) plus an id-mapping file (Supabase id → SGAuth id) for the Chambers team. Audit BULK_IMPORT. Never log hashes.

**Acceptance criteria**
- [ ] Dry run against dev reports counts; real run is idempotent (second run: 0 created).
- [ ] Sample imported user logs in with their Chambers password on dev (AUTH-T21) and holds the mapped positions.
- [ ] Mapping file approved by the Primary Admin before the production run.","High","3","Backlog","epic:rollout, phase:3, migration, backend, chambers"
"Aplio user import (emails and names, no passwords) with id mapping","**Ticket:** AUTH-T88  
**Epic:** E12 User Migration & Rollout  
**Phase:** Phase 4 — Aplio, SenatePath, Attendance Manager, retention  
**Depends on:** AUTH-T87 (Import script: Chambers users with bcrypt hashes and position mapping); AUTH-T22 (Password-less accounts: lazy set-password on first sign-in, plus admin invites)

Aplio users authenticated with email OTP and have no passwords. Extend the import script with `--source aplio.json` (id, email, name, isAdmin, deletedAt): upsert by email (duplicates of Chambers accounts merge into the existing account and keep its password), create the rest as password-less accounts that set a password lazily on first sign-in (AUTH-T22; **no emails are sent at import**), do not grant SGAuth admin from Aplio's `isAdmin` (product-level; APLIO-P04 maps it to a position), skip soft-deleted users, produce the id-mapping file for APLIO-P03. Accounts whose address is not northeastern.edu are imported as-is (the admin/import path bypasses the domain rule) with `legacyEmail = true`; they keep working, and an admin can later move them to the person's northeastern.edu address via AUTH-T24, preserving the SGAuth id and Aplio history. Eli plans to look up and correct these few addresses by hand; the import report lists them.

**Acceptance criteria**
- [ ] Report shows created/merged counts and lists every non-northeastern.edu account; the import sends no email; a sample imported user sets a password on first sign-in and sees their Aplio data; id-mapping file delivered to the Aplio team.","High","2","Backlog","epic:rollout, phase:4, migration, aplio"
"SenatePath and SenatePortal user import","**Ticket:** AUTH-T89  
**Epic:** E12 User Migration & Rollout  
**Phase:** Phase 4 — Aplio, SenatePath, Attendance Manager, retention  
**Depends on:** AUTH-T88 (Aplio user import (emails and names, no passwords) with id mapping)

Same script with `--source senatepath.json` (admin users only) and `--source senateportal.json` (email, first/last, role; SenatePortal is the new name for Attendance Manager) — NUID is NOT imported. Positions mapping files approved per product. Accounts are created password-less and set passwords lazily on first sign-in (AUTH-T22); no emails at import.

**Acceptance criteria**
- [ ] Both imports run on dev with reports; id-mapping files delivered to each team.","Medium","2","Backlog","epic:rollout, phase:4, migration"
"Rollout plan and user communications","**Ticket:** AUTH-T90  
**Epic:** E12 User Migration & Rollout  
**Phase:** Phase 3 — Hardening, observability, Chambers  
**Depends on:** AUTH-T80 (Integration guide for Neon-based products (Next.js)); AUTH-T87 (Import script: Chambers users with bcrypt hashes and position mapping)

Write `docs/ROLLOUT.md`: order SGAuth MVP → VaultZ → Chambers → Aplio (hard cutover) → SenatePath → Attendance Manager; per-product cutover checklist (pre-import users, registry entry, subdomain, env, SDK version, smoke test, announcement, rollback flag, support window of 3 days with a named contact); email templates announcing 'one login for all SGA tools' and, for Chambers users, that their existing password keeps working.

**Acceptance criteria**
- [ ] Plan reviewed with each product owner; dates recorded; announcement emails drafted.","Medium","2","Backlog","epic:rollout, phase:3, docs, rollout"
"Production launch checklist and Primary Admin bootstrap","**Ticket:** AUTH-T91  
**Epic:** E12 User Migration & Rollout  
**Phase:** Phase 2 — Admin, Primary Admin, positions, UI, SDK, VaultZ  
**Depends on:** AUTH-T72 (Threat model and pre-launch security review checklist); AUTH-T66 (Security headers (CSP, HSTS, frame, referrer)); AUTH-T76 (Health endpoint and uptime monitor); AUTH-T39 (Break-glass Primary Admin recovery script and runbook); AUTH-T64 (Escalating account lockout with emailed unlock and known-device exemption)

Execute before the first product goes live: DNS + DMARC verified; production env vars set; Neon PITR confirmed; Upstash and Resend production keys; PostHog project; uptime monitor; threat-model checklist items closed; bootstrap the first Primary Admin via a one-time script (`scripts/bootstrap-primary-admin.ts`, refuses to run if any PA exists) followed by MFA enrollment; at least two people hold break-glass credentials; backups of the curated positions; smoke test of login/logout/session endpoint from a product stub on a real subdomain.

**Acceptance criteria**
- [ ] Checklist completed and signed off in the ticket by the Primary Admin; bootstrap script left disabled afterwards.","High","2","Backlog","epic:rollout, phase:2, rollout, infra, security"
"Post-launch review and legacy cleanup tracking","**Ticket:** AUTH-T92  
**Epic:** E12 User Migration & Rollout  
**Phase:** Phase 4 — Aplio, SenatePath, Attendance Manager, retention  
**Depends on:** AUTH-T90 (Rollout plan and user communications)

Two weeks after each product cutover: review PostHog funnel and audit metrics (failed logins, lockouts, support requests), remove the bcrypt verify path once no `bcrypt$` hashes remain, and confirm each product deleted its legacy auth code and secrets. Record findings in `docs/ROLLOUT.md`.

**Acceptance criteria**
- [ ] Review notes recorded for every product; legacy-cleanup subtasks closed.","Low","1","Backlog","epic:rollout, phase:4, rollout, docs"
"Test harness: vitest, Neon test branch, factories, and test mailer","**Ticket:** AUTH-T93  
**Epic:** E13 Testing & QA  
**Phase:** Phase 0 — Foundation  
**Depends on:** AUTH-T01 (Provision the Neon project, branches, and roles for SGAuth); AUTH-T04 (Configure Prisma 7 for Neon (pooled runtime, direct migrations))

Configure vitest (node environment) with a global setup that points Prisma at the Neon `test` branch (reset from `dev` before each CI run; runs serialized by a GitHub Actions concurrency group because the 10-branch cap rules out per-run branches), applies migrations, and truncates tables between test files. Provide factories (`createUser`, `createAdmin`, `createPrimaryAdmin`, `createSession`, `createPosition`), a fake clock helper, a capturing mailer, and a fake Upstash (in-memory) limiter. Add `npm test` and coverage thresholds (80% lines on `src/lib`).

**Acceptance criteria**
- [ ] `npm test` runs locally against a personal branch and in CI against the test branch in under 5 minutes.
- [ ] Factories and fakes documented in CONTRIBUTING.md.","High","3","Backlog","epic:testing, phase:0, testing, infra"
"Integration tests for authentication flows","**Ticket:** AUTH-T94  
**Epic:** E13 Testing & QA  
**Phase:** Phase 1 — Core auth, sessions, SSO (MVP)  
**Depends on:** AUTH-T93 (Test harness: vitest, Neon test branch, factories, and test mailer); AUTH-T17 (Email + password sign-in and self-sign-up restricted to northeastern.edu); AUTH-T18 (Email verification for self-sign-up with resend limits); AUTH-T19 (Password reset flow); AUTH-T27 (Session lifetime: 30-day sliding, 90-day absolute cap, no cookie cache); AUTH-T64 (Escalating account lockout with emailed unlock and known-device exemption)

End-to-end (HTTP-level) tests: sign-up + verify + login; domain rejection; wrong password; lockout and unlock; forgot/reset including session revocation; invite acceptance; deactivated user; session sliding and absolute expiry; logout and sign-out-everywhere; re-auth freshness; rate-limit responses with the fake limiter.

**Acceptance criteria**
- [ ] All flows green in CI; each test asserts the expected audit events.","High","5","Backlog","epic:testing, phase:1, testing, auth-core"
"Authorization, admin, positions, and transfer integration tests","**Ticket:** AUTH-T95  
**Epic:** E13 Testing & QA  
**Phase:** Phase 2 — Admin, Primary Admin, positions, UI, SDK, VaultZ  
**Depends on:** AUTH-T93 (Test harness: vitest, Neon test branch, factories, and test mailer); AUTH-T36 (Admin user-management endpoints); AUTH-T37 (Primary Admin transfer flow (re-auth, recipient acceptance, 24-hour cancel window)); AUTH-T42 (Positions CRUD: create, edit name/category, soft delete with retirement); AUTH-T43 (Position assignment endpoints (assign, unassign, bulk))

HTTP-level tests exercising the admin endpoints with the full actor/target matrix, the position lifecycle (create/rename/assign/delete/retired-key reuse), and the complete PA transfer state machine including cron execution and mid-flight recipient deactivation.

**Acceptance criteria**
- [ ] Matrix and state-machine tests pass; coverage of `authz.ts` and the transfer service ≥ 90%.","High","3","Backlog","epic:testing, phase:2, testing, admin"
"Playwright end-to-end SSO test across subdomains","**Ticket:** AUTH-T96  
**Epic:** E13 Testing & QA  
**Phase:** Phase 2 — Admin, Primary Admin, positions, UI, SDK, VaultZ  
**Depends on:** AUTH-T34 (Non-production SSO topology: dev deployment, local hostnames, product preview domains); AUTH-T59 (SDK: Next.js helpers (proxy/middleware, requireSession, position guards, URLs)); AUTH-T30 (Global logout, sign out everywhere, and admin revocation)

Spin up SGAuth and two minimal product stubs (using the SDK) on `auth.sga.localhost`, `a.sga.localhost`, `b.sga.localhost` in CI. Scenarios: login at auth → both products see the session; position assigned by an admin → product B gates a page accordingly; logout on product A → product B is logged out; expired session → redirect to login with the correct redirect param; open-redirect attempts rejected.

**Acceptance criteria**
- [ ] Playwright job green in CI with traces on failure; run time under 4 minutes.","High","5","Backlog","epic:testing, phase:2, testing, sso, e2e"
"JWT and JWKS conformance tests for Supabase requirements","**Ticket:** AUTH-T97  
**Epic:** E13 Testing & QA  
**Phase:** Phase 2 — Admin, Primary Admin, positions, UI, SDK, VaultZ  
**Depends on:** AUTH-T29 (ES256 JWTs with JWKS and OIDC discovery for Supabase-backed products)

Tests: token verifies with `jose` via remote JWKS; header has `alg: ES256` and `kid`; claims include uuid `sub`, `role: 'authenticated'`, `iss`, `aud`, `exp - iat ≤ 600`; discovery document is valid; rotation keeps the old key in the JWKS for the grace period; token endpoint rejects missing/revoked sessions.

**Acceptance criteria**
- [ ] Conformance suite green; a checklist in the Supabase guide references these tests.","Medium","2","Backlog","epic:testing, phase:2, testing, jwt, supabase"
"Load sanity for the session endpoint on Neon","**Ticket:** AUTH-T98  
**Epic:** E13 Testing & QA  
**Phase:** Phase 3 — Hardening, observability, Chambers  
**Depends on:** AUTH-T28 (Session endpoint for products: user, email, positions, admin flags); AUTH-T05 (Create the Vercel project, custom domains, environments, and Neon preview branching)

Run a k6/autocannon script against the dev deployment: 100 concurrent virtual users hitting `/api/sgauth/session` with valid cookies for 2 minutes. Record p50/p95, Neon connection count, and any pooler saturation; tune pool size and Neon compute settings; document results.

**Acceptance criteria**
- [ ] p95 < 250 ms and zero connection errors at 100 VUs; results in `docs/PERFORMANCE.md`.","Low","2","Backlog","epic:testing, phase:3, testing, performance"
"Spike: Northeastern Microsoft Entra ID sign-in feasibility","**Ticket:** AUTH-T99  
**Epic:** E3 Authentication Core  
**Phase:** Phase 5 — Backlog / spikes  
**Depends on:** AUTH-T91 (Production launch checklist and Primary Admin bootstrap)

Not a launch dependency. Investigate whether SGA can (a) get an app registered in Northeastern's Entra tenant via ITS, or (b) register a multi-tenant app in an SGA-owned tenant that Northeastern's tenant permits users to consent to, restricting sign-in to Northeastern's tenant id. If viable, prototype Better Auth's `microsoft` social provider behind a feature flag, linking to existing accounts by verified email. Report blockers, MFA inheritance (Duo), and the account-linking policy.

**Acceptance criteria**
- [ ] Written findings with a go/no-go recommendation and, if go, a follow-up ticket set.","Low","3","Backlog","epic:auth-core, phase:5, spike, sso"
"Backlog: optional email OTP login (deferred due to email volume)","**Ticket:** AUTH-T100  
**Epic:** E3 Authentication Core  
**Phase:** Phase 5 — Backlog / spikes  
**Depends on:** AUTH-T91 (Production launch checklist and Primary Admin bootstrap)

Deferred by decision: password is the launch method because Resend free-tier volume is constrained. Revisit after launch: Better Auth `emailOTP` plugin as an alternative sign-in for users who forget passwords, with strict per-user caps. Requires a volume estimate against the org-wide Resend budget first.

**Acceptance criteria**
- [ ] Decision recorded after reviewing 60 days of email volume metrics.","Low","2","Backlog","epic:auth-core, phase:5, backlog, email"
"Neon Free-plan quota monitoring, alerts, and upgrade runbook","**Ticket:** AUTH-T101  
**Epic:** E1 Foundation & Neon Migration  
**Phase:** Phase 0 — Foundation  
**Depends on:** AUTH-T01 (Provision the Neon project, branches, and roles for SGAuth)

Accepted risk from the red-team review: SGAuth runs on Neon Free, which suspends the compute for the remainder of the month once the project uses 100 CU-hours. A compute that stays awake most of the day at the 0.25 CU minimum uses about 180 CU-hours/month, so exhaustion is plausible once several products are live, and it would take every SGA login down at once.
Mitigations: (1) a scheduled job (AUTH-T38, daily) reads consumption via the Neon API and emails all admins at 50%, 70%, and 85% of the monthly CU-hour quota, with a projection of the exhaustion date; (2) keep scale-to-zero at 5 minutes and rely on the SDK cache so idle periods suspend the compute; (3) `docs/runbooks/neon-upgrade.md`: one-click upgrade to Launch (pay-as-you-go, $0.106/CU-hour), what changes (7-day restore window, scale-to-zero configurable), and who is authorized to approve the spend; (4) record the 6-hour restore window as a known limitation in the architecture doc; (5) never add keep-warm pings (they burn the quota).

**Acceptance criteria**
- [ ] Alert emails fire at the thresholds (tested by lowering the threshold on dev).
- [ ] Runbook merged and the upgrade trigger (85% or any suspension) is written into the on-call notes.
- [ ] ARCHITECTURE.md states the Free-plan risk and the restore window explicitly.","High","2","Backlog","epic:foundation, phase:0, infra, neon, observability"
"Scanner-safe email links: land on a page, consume the token on POST","**Ticket:** AUTH-T103  
**Epic:** E3 Authentication Core  
**Phase:** Phase 1 — Core auth, sessions, SSO (MVP)  
**Depends on:** AUTH-T20 (Email infrastructure: Resend on a dedicated SGAuth sending domain with volume caps)

Northeastern mail is Microsoft 365, and Defender Safe Links pre-fetches every link in incoming mail. A link that acts on GET (verify, reset, invite/set-password, unlock, PA transfer accept/cancel) would be consumed by the scanner before the user clicks. Rule for every emailed link in SGAuth: the URL opens a page that shows what is about to happen and a button; the token is validated for display on GET (never consumed, never marks anything) and consumed only on the button's POST (same-origin, CSRF-protected). Better Auth's built-in verify-email link acts on GET, so send our own URL (`/verify-email?token=`) that renders the confirmation page and calls the Better Auth verification endpoint on submit. HEAD requests and known scanner user agents get a 200 with no side effects. Provide one shared `TokenActionPage` component and a helper used by AUTH-T18, T19, T22, T24, T37, T64.

**Acceptance criteria**
- [ ] A HEAD or GET request to any emailed link does not consume the token (integration test); the subsequent POST does, exactly once.
- [ ] Every email template's link points at a page implementing the pattern (test enumerates templates).","Urgent","2","Backlog","epic:auth-core, phase:1, backend, email, security"
